,Track Name,Artist,Track ID,Genres,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Lyrics
'Cause I'm Slim Shady, yes, I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?
'Cause I'm Slim Shady, yes, I'm the real Shady
All you other Slim Shadys are just imitating
So won't the real Slim Shady please stand up
Please stand up, please stand up?

[Outro]
Ha ha, I guess there's a Slim Shady in all of us
Fuck it, let's all stand up!431Embed"
1,MotorSport,Migos,4wFjTWCunQFKtukqrNijEt,1,0.0305,0.904,0.518,0.0,0.325,-5.32,0.183,137.996,0.188,"428 ContributorsTranslationsPortuguêsMotorSport Lyrics[Intro: Quavo]
Yeah, woo, yeah, skrrt
M-M-M-Murda

[Chorus: Quavo]
Motorsport, yeah, put that thing in sport (Skrrt, skrrt)
Shawty bad (Bad), pop her like a cork (Pop it)
You a dork, never been a sport (Dork, yeah)
Pull up, woo, woo, jumpin' out the court (Jump)
Cotton candy (Drink), my cup tastes like the fair (Cotton)
Straight up there (Where?), we didn't take the stairs (Where?)
Faced my fears (My fears), gave my mama tears (Mama)
Shiftin' gears (Shift), on the Nawf, get serious (Serious)

[Verse 1: Quavo]
Face all your fears, then get at me
Hit so many donuts on them backstreets
Sit so high in the nosebleeds (Yeah)
Feel like I can fly, yeah
Xans, Perky, check (Yeah), Bill Belichick
Take the air out the ball (Ooh), just so I can flex
Take the air out the mall, walk in with the sacks
Take the air out your broad (Hey), now she can't go back (E)
Xans, Perky, check (Yeah), Bill Belichick
Take the air out the ball (Yeah), just so I can flex
Take the air out the mall (Hey), walk in with the sacks
Take the air out your broad (Woo, woo, woo, E)
You might also like[Verse 2: Offset]
Offset!
Uh, the coupe came imported (Hey)
This season's Off-White come in snorted (White)
Green Lamborghini a tortoise (Lambo)
No human being, I'm immortal (No)
Patek and A.P. full of water (Patek)
Hundred K, I spend on my señora (Racks)
My pinky on margarine, butter (Margarine)
And my ears got McDonald's nuggets (Ayy)
Soon as I land on the Lear (Whew)
Piguets, they wet, tears ('Guets)
488, hit the gears (488)
Suicide doors, Britney Spears
I'm boujee, so, bitch, don't get near (Boujee)
Criss Angel, make dope disappear (Voilà)
Hit the gas, it got flames out the rears (Skrrt)
It's a race to the bag, get the mills (Hey)

[Verse 3: Cardi B]
Ride the dick like a BMX
No nigga wanna be my ex (No)
I love when he go on tour
'Cause he cums more, when I see him less
I get up set off
I turn Offset on
I told him the other day
""Man, we should sell that porn""
Yeah, Cardi B, I'm back, bitches
I don't wanna hear I'm actin' different (Yeah)
Same lips that be talkin' 'bout me
Is the same lips that be ass kissin'
These hoes ain't what they say they are
And they pussy stink, they catfishin' (Stank)
Same hoes that was sendin' shots
They reachin' out like they back itchin' (Whoo)
Why would I hop in some beef (Why?)
When I could just hop in a Porsche?
You heard she gon' do what from who?
That's not a reliable source, no
So tell me, have you seen her?
Let me wrap my weave up
I'm the trap Selena
¡Dame más gasolina! Skrrt!
[Chorus: Quavo]
Motorsport, yeah, put that thing in sport (Skrrt, skrrt)
Shawty bad (Bad), pop her like a cork (Pop it)
You a dork, never been a sport (Dork, yeah)
Pull up, woo, woo, jumpin' out the court (Jump)

[Verse 4: Nicki Minaj]
Uh, yo, watch your man, then you should watch your mouth
Bitches is pressed, administer mouth to mouth
You see them stats, you know what I am about
I am the champ, I'm Iron Mike in a bout
Attention, I'ma need you to face front
You don't want smoke with me, this is a laced blunt
Rap's Jackie Chan, we ain't pullin' them fake stunts
My crown won't fit on your bum-ass lace fronts (Uh)
You bitches catchin' a fade, shout out my nigga Lil Boosie
All of your friends'll be dead, you can get hit with that Uzi
I call him Ricky, he say he love me like Lucy
Get you a straw nigga, you know this pussy is juicy
This Givenchy is custom made, now you can't get it at Saks though
I don't work in no office, but they copyin' and that's facts though
I ain't tryna be violent, but if Nicki on it, it slaps, ho
Get you lined for that paper like a loose leaf when that strap blow
I'm with a couple bad bitches that'll rip the party
If Quavo the QB, I'm Nick Lombardi
Pull up in the space coupe, I done linked with Marty
I can actually afford to get a pink Bugatti
""Ayo, Nick, didn't you just do a hit with Gotti?""
That too, but my niggas send hits like Gotti
It's a wrap, like the things on the head of a Saudi
Bitch, you my son, go and sit on the potty (Rrrrrr)
[Verse 5: Takeoff]
Brand new Chanels (Chanels)
I scuffed 'em runnin' from 12 (12)
Ain't make no commitment with none of you bitches
'Cause money is treatin' me well (Uh-uh)
If Nicki should show me her titty
Right hand on the Bible, I swear I won't tell (Swear)
If I get to play with that kitty
I wonder how many platinums we gon' sell (Albums)
Pop a Perc and catch a feel (I pop one)
Now I cannot feel the wheel (Woah)
My chest bad, give me chills (Ice)
And the left hand on Richard Mille (Ice)
Not the watch, but the price on the ice
If you don't know what that is (Huh)
Motorsport, motorville
Abort the mission, that's a kill (Pew, pew, brrr)

[Chorus: Quavo]
Motorsport, yeah, put that thing in sport (Skrrt, skrrt)
Shawty bad (Bad), pop her like a cork (Pop it)
You a dork, never been a sport (Dork, yeah)
Pull up, woo, woo, jumpin' out the court (Jump)
Cotton candy (Drink), my cup tastes like the fair (Cotton)
Straight up there (Where?), we didn't take the stairs (Where?)
Faced my fears (My fears), gave my mama tears (Mama)
Shiftin' gears (Shift), on the Nawf, get serious (Serious)

[Outro: Quavo]
Girl, yeah, yeah, I wish my grandma could see me (Grandma)
Take away pain, ain't easy (Pain)
That's why I fire up a bleezy (Fire)
Niggas not cappin' this season271Embed"
2,In Da Club,50 Cent,5Mcvgt2GbxxCp6cz3Kfjey,1,0.325,0.906,0.663,0.0,0.0883,-3.955,0.355,90.042,0.847,"245 ContributorsTranslationsTürkçePortuguês50 Cent - In da Club (Traduzione Italiana)EnglishEspañolIn da Club Lyrics[Produced by Dr. Dre & Mike Elizondo]

[Intro]
Go, go
Go, go, go, go
Go, shawty, it's your birthday
We gon' party like it's your birthday
We gon' sip Bacardí like it's your birthday
And you know we don't give a fuck it's not your birthday

[Chorus]
You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed
You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed

[Verse 1]
When I pull up out front, you see the Benz on dubs (Uh-huh)
When I roll twenty deep, it's twenty nines in the club (Yeah)
Niggas heard I fuck with Dre, now they wanna show me love
When you sell like Eminem, then the hoes, they wanna fuck (Woo)
Look homie, ain't nothin' changed, hoes down, G's up
I see Xzibit in the cut, hey, nigga, roll that weed up (Roll that)
If you watch how I move, you'll mistake me for a player or pimp
Been hit with a few shells, but I don't walk with a limp (I'm aight)
In the hood in L.A., they sayin', ""50, you hot"" (Uh-huh)
They like me, I want 'em to love me like they love Pac
But holla in New York, the niggas'll tell you I'm loco (Yeah)
And the plan is to put the rap game in a chokehold (Uh-huh)
I'm fully focused, man, my money on my mind
Got a mil' out the deal and I'm still on the grind (Woo)
Now shawty said she feelin' my style, she feelin' my flow (Uh-huh)
Her girlfriend with her, they bi and they ready to go (Okay)
See 50 Cent LiveGet tickets as low as $26You might also like[Chorus]
You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed
You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed (Rubbed)

[Bridge]
My flow, my show brought me the dough
That bought me all my fancy things
My crib, my cars, my clothes, my jewels
Look, nigga, I done came up and I ain't changed (What? What? Yeah)

[Verse 2]
And you should love it way more than you hate it
Nigga, you mad? I thought that you'd be happy I made it (Woo)
I'm that cat by the bar toastin' to the good life
You that faggot-ass nigga tryna pull me back, right?
When my joint get to bumpin' in the club, it's on
I wink my eye at your bitch, if she smiles, she gone
If the roof on fire, let the motherfucker burn
If you talkin' about money, homie, I ain't concerned
I'ma tell you what Banks told me, ""Cuz, go 'head, switch the style up
If niggas hate, then let 'em hate, and watch the money pile up""
Or we can go upside your head with a bottle of bub'
They know where we fuckin' be
[Chorus]
You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed
You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed (Hahahaha)

[Outro]
Don't try to act like you don't know where we be neither, nigga
We in the club all the time, nigga, so pop, pop off, nigga
G-Unit198Embed"
3,Gangsta's Paradise,Coolio,1DIXPcTDzTj8ZMHt3PDt8p,1,0.0655,0.647,0.514,0.0,0.398,-10.05,0.0593,79.975,0.386,"234 ContributorsTranslationsMagyarGangsta’s Paradise Lyrics[Recording Info]

[Verse 1: Coolio]
As I walk through the valley of the shadow of death
I take a look at my life, and realize there's nothin' left
'Cause I've been blastin' and laughin' so long, that
Even my momma thinks that my mind is gone
But I ain't never crossed a man that didn't deserve it
Me be treated like a punk, you know that's unheard of
You better watch how you talkin', and where you walkin'
Or you and your homies might be lined in chalk
I really hate to trip, but I gotta loc
As they croak, I see myself in the pistol smoke
Fool, I'm the kinda G the little homies wanna be like
On my knees in the night, sayin' prayers in the streetlight

[Chorus: LV]
They've been spendin' most their lives livin' in the gangsta's paradise
They've been spendin' most their lives livin' in the gangsta's paradise
We keep spendin' most our lives livin' in the gangsta's paradise
We keep spendin' most our lives livin' in the gangsta's paradise

[Verse 2: Coolio]
Look at the situation they got me facin'
I can't live a normal life, I was raised by the state
So I gotta be down with the hood team
Too much television watchin' got me chasin' dreams
I'm a educated fool with money on my mind
Got my ten in my hand, and a gleam in my eye
I'm a loc'd out gangsta, set trippin' banger
And my homies is down, so don't arouse my anger
Fool, death ain't nothin' but a heartbeat away
I'm livin' life do or die, what can I say?
I'm 23 now, but will I live to see 24?
The way things is goin', I don't know
You might also like[Refrain: LV]
Tell me, why are we so blind to see
That the ones we hurt are you and me?

[Chorus: LV]
They've been spendin' most their lives livin' in the gangsta's paradise
They've been spendin' most their lives livin' in the gangsta's paradise
We keep spendin' most our lives livin' in the gangsta's paradise
We keep spendin' most our lives livin' in the gangsta's paradise

[Verse 3: Coolio]
Power and the money, money and the power
Minute after minute, hour after hour
Everybody's runnin', but half of them ain't lookin'
It's goin' on in the kitchen, but I don't know what's cookin'
They say I gotta learn, but nobody's here to teach me
If they can't understand it, how can they reach me?
I guess they can't, I guess they won't
I guess they frontin', that's why I know my life is out of luck, fool!

[Chorus: LV]
They've been spendin' most their lives livin' in the gangsta's paradise
They've been spendin' most their lives livin' in the gangsta's paradise
We keep spendin' most our lives livin' in the gangsta's paradise
We keep spendin' most our lives livin' in the gangsta's paradise
[Refrain: LV]
Tell me, why are we so blind to see
That the ones we hurt are you and me?
Tell me, why are we so blind to see
That the ones we hurt are you and me?182Embed"
4,rockstar,Post Malone,19bX4zmC2zDben2ldhoRB3,1,0.145,0.594,0.507,0.000871,0.132,-6.141,0.0816,159.729,0.137,"467 ContributorsTranslationsEspañolPolskiFrançaisفارسیNederlandsČeskyTürkçeDeutsch​​rockstar Lyrics[Intro: Post Malone]
Hahahahaha
Tank God
Ayy, ayy

[Chorus: Post Malone]
I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar (Star, ayy, ayy)
All my brothers got that gas
And they always be smokin' like a Rasta ('Sta)
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas ('Tas)
When my homies pull up on your block
They make that thing go grrra-ta-ta-ta (Ta, pow, pow, pow, ayy, ayy)

[Verse 1: Post Malone]
Switch my whip, came back in black
I'm startin' sayin', ""Rest in peace to Bon Scott"" (Scott, ayy)
Close that door, we blowin' smoke
She ask me light a fire like I'm Morrison ('Son, ayy)
Act a fool on stage
Prolly leave my fuckin' show in a cop car (Car, ayy)
Shit was legendary
Threw a TV out the window of the Montage
Cocaine on the table, liquor pourin', don't give a damn
Dude, your girlfriend is a groupie, she just tryna get in
Sayin', ""I'm with the band"" (Ayy, ayy)
Now she actin' outta pocket, tryna grab up on my pants
Hundred bitches in my trailer say they ain't got a man
And they all brought a friend (Yeah, ayy, ayy, ayy)
See Post Malone LiveGet tickets as low as $29You might also like[Chorus: Post Malone]
I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar (Star, ayy, ayy)
All my brothers got that gas
And they always be smokin' like a Rasta ('Sta)
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas ('Tas)
When my homies pull up on your block
They make that thing go grrra-ta-ta-ta (Ta, pow, pow, pow)

[Verse 2: 21 Savage]
I've been in the Hills fuckin' superstars
Feelin' like a popstar (21, 21, 21)
Drankin' Henny, bad bitches jumpin' in the pool
And they ain't got on no bra (Bra)
Hit her from the back, pullin' on her tracks
And now she screamin' out, ""¡No más!"" (Yeah, yeah, yeah)
They like, ""Savage, why you got a 12 car garage
And you only got six cars?"" (21)
I ain't with the cakin', how you kiss that? (Kiss that?)
Your wifey say I'm lookin' like a whole snack (Big snack)
Green hundreds in my safe, I got old racks (Old racks)
L.A. bitches always askin', ""Where the coke at?"" (21, 21)
Livin' like a rockstar, smash out on a cop car
Sweeter than a Pop-Tart, you know you are not hard
I done made the hot chart, 'member I used to trap hard
Livin' like a rockstar, I'm livin' like a rockstar (Ayy)
[Chorus: Post Malone & 21 Savage]
I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar (Star, ayy, ayy)
All my brothers got that gas
And they always be smokin' like a Rasta ('Sta, yeah, yeah, yeah, yeah)
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas ('Tas)
When my homies pull up on your block
They make that thing go grrra-ta-ta-ta (Ta, grrra-ta-ta-ta-ta)

[Outro: Post Malone]
Star, star, rockstar, rockstar, star
Rockstar
Rockstar, feel just like a–
Rockstar
Rockstar
Rockstar
Feel just like a...769Embed"
5,HUMBLE.,Kendrick Lamar,131OLY5J8XyfGuSjXRiTRM,1,0.000253,0.911,0.566,7.53e-05,0.0956,-6.703,0.135,150.039,0.374,"998 ContributorsTranslationsTürkçeEspañolРусскийPortuguêsPolskiAzərbaycanca / آذربايجانDeutschHUMBLE. Lyrics[Intro]
Nobody pray for me
It been that day for me
Way (Yeah, yeah)

[Verse 1]
Ayy, I remember syrup sandwiches and crime allowances
Finesse a nigga with some counterfeits, but now I'm countin’ this
Parmesan where my accountant lives, in fact, I'm downin' this
D’USSÉ with my boo bae, tastes like Kool-Aid for the analysts
Girl, I can buy your ass the world with my paystub
Ooh, that pussy good, won't you sit it on my taste bloods?
I get way too petty once you let me do the extras
Pull up on your block, then break it down: we playin' Tetris
AM to the PM, PM to the AM, funk
Piss out your per diem, you just gotta hate 'em, funk
If I quit your BM, I still ride Mercedes, funk
If I quit this season, I still be the greatest, funk
My left stroke just went viral
Right stroke put lil' baby in a spiral
Soprano C, we like to keep it on a high note
It's levels to it, you and I know

[Chorus]
Bitch, be humble (Hol' up, bitch)
Sit down (Hol' up, lil’, hol’ up, lil' bitch)
Be humble (Hol’ up, bitch)
Sit down (Hol' up, sit down, lil', sit down, lil' bitch)
Be humble (Hol’ up, hol' up)
Bitch, sit down (Hol' up, hol' up, lil' bitch)
Be humble (Lil' bitch, hol' up, bitch)
Sit down (Hol' up, hol' up, hol' up, hol' up)
Be humble (Hol' up, hol' up)
Sit down (Hol' up, hol' up, lil', hol' up, lil' bitch)
Be humble (Hol' up, bitch)
Sit down (Hol' up, sit down, lil', sit down, lil' bitch)
Be humble (Hol' up, hol' up)
Bitch, sit down (Hol' up, hol' up, lil' bitch)
Be humble (Lil' bitch, hol' up, bitch)
Sit down (Hol' up, hol' up, hol' up, hol' up)
See Kendrick Lamar LiveGet tickets as low as $106You might also like[Verse 2]
Who that nigga thinkin' that he frontin' on Man-Man? (Man-Man)
Get the fuck off my stage, I'm the Sandman (Sandman)
Get the fuck off my dick, that ain't right
I make a play fucking up your whole life
I'm so fuckin' sick and tired of the Photoshop
Show me somethin' natural like afro on Richard Pryor
Show me somethin' natural like ass with some stretch marks
Still I take you down right on your mama couch in Polo socks
Ayy, this shit way too crazy, ayy, you do not amaze me, ayy
I blew cool from AC, ayy, Obama just paged me, ayy
I don't fabricate it, ayy, most of y'all be fakin', ayy
I stay modest 'bout it, ayy, she elaborate it, ayy
This that Grey Poupon, that Evian, that TED Talk, ayy
Watch my soul speak, you let the meds talk, ayy
If I kill a nigga, it won't be the alcohol, ayy
I'm the realest nigga after all

[Chorus]
Bitch, be humble (Hol' up, bitch)
Sit down (Hol' up, lil', hol' up, lil' bitch)
Be humble (Hol' up, bitch)
Sit down (Hol' up, sit down, lil', sit down, lil' bitch)
Be humble (Hol' up, hol' up)
Bitch, sit down (Hol' up, hol' up, lil' bitch)
Be humble (Lil' bitch, hol' up, bitch)
Sit down (Hol' up, hol' up, hol' up, hol' up)
Be humble (Hol' up, hol' up)
Sit down (Hol' up, hol' up, lil', hol' up, lil' bitch)
Be humble (Hol' up, bitch)
Sit down (Hol' up, sit down, lil', sit down, lil' bitch)
Be humble (Hol' up, hol' up)
Bitch, sit down (Hol' up, hol' up, lil' bitch)
Be humble (Lil' bitch, hol' up, bitch)
Sit down (Hol' up, hol' up, hol' up, hol' up)1.2KEmbed"
6,Black and Yellow,Wiz Khalifa,3VP78k3jzm0Q5OM08E383k,1,0.0619,0.685,0.832,0.0,0.273,-4.548,0.0595,164.07,0.574,"125 ContributorsTranslationsРусскийPortuguêsEnglishBlack and Yellow Lyrics[Intro]
Yeah, uh-huh, you know what it is
Black and yellow, black and yellow
Black and yellow, black and yellow
Yeah, uh-huh, you know what it is
Black and yellow, black and yellow
Black and yellow, black and yellow

[Chorus]
Yeah, uh-huh, you know what it is
Everything I do, yeah, I do it big
Yeah, uh-huh, screaming: ""That's nothin'!""
When I pulled off the lot, that's stuntin'
Reppin' my town, when you see me you know everything
Black and yellow, black and yellow
Black and yellow, black and yellow
I put it down from the whip to my diamonds, I'm in
Black and yellow, black and yellow
Black and yellow, black and yellow

[Verse 1]
Uh, black stripe, yellow paint
Them niggas scared of it, but them hoes ain't
Soon as I hit the club, look at them hoes' face
Hit the pedal once, make the floor shake
Suede inside, my engine roarin'
It’s the big boy, you know what I paid for it
And I got the pedal to the metal
Got you niggas checking game, I’m ballin' out on every level
Hear them haters talk, but there’s nothin' you can tell 'em
Just made a million, got another million on my schedule
No love for 'em, nigga breaking hearts
No keys, push to start
See Wiz Khalifa LiveGet tickets as low as $41You might also like[Chorus]
Yeah, uh-huh, you know what it is
Everything I do, yeah, I do it big
Yeah, uh-huh, screaming: ""That's nothin'!""
When I pulled off the lot, that's stuntin'
Reppin' my town, when you see me you know everything
Black and yellow, black and yellow
Black and yellow, black and yellow
I put it down from the whip to my diamonds, I'm in
Black and yellow, black and yellow
Black and yellow, black and yellow

[Verse 2]
Got a call from my jeweler, this just in
And bitches love me ‘cause I'm fucking with their best friends
Not a lesbian, but she a freak though
This ain't for one night, I’m shining all week, ho
I’m sippin' Clicquot and rocking yellow diamonds
So many rocks up in my watch I can’t tell what the time is
Got a pocket full of big faces
Throw it up, 'cause every nigga that I’m with Taylor'd

[Chorus]
Yeah, uh-huh, you know what it is
Everything I do, yeah, I do it big
Yeah, uh-huh, screaming: ""That's nothin'!""
When I pulled off the lot, that's stuntin'
Reppin' my town, when you see me you know everything
Black and yellow, black and yellow
Black and yellow, black and yellow
I put it down from the whip to my diamonds, I'm in
Black and yellow, black and yellow
Black and yellow, black and yellow
[Verse 3]
Stay high like how I’m supposed to do
That crowd underneath them clouds can’t get close to you
And my car look unapproachable
Super clean, but it's super mean
She wanna fuck with them cats, smoke weed, count stacks
Get fly and take trips and that's that, real rap
I let her get high if she want and she feel that
Convertible drop feel, ‘87, the top peeled back

[Bridge]
Yeah, uh-huh, you know what it is
Yeah, yeah, uh-huh, you know what it is
You already know what it is, man
And if you don't, you should by now
Reppin' my town, when you see me you know everything
Black and yellow, black and yellow
Black and yellow, black and yellow
I put it down from the whip to my diamonds, I'm in
Black and yellow, black and yellow
Black and yellow, black and yellow

[Chorus]
Yeah, uh-huh, you know what it is
Everything I do, yeah, I do it big
Yeah, uh-huh, screaming: ""That's nothin'!""
When I pulled off the lot, that's stuntin'
Reppin' my town, when you see me you know everything
Black and yellow, black and yellow
Black and yellow, black and yellow
I put it down from the whip to my diamonds, I'm in
Black and yellow, black and yellow
Black and yellow, black and yellow82Embed"
7,WAP (feat. Megan Thee Stallion),Cardi B,051wt8AyLFgYnVuberd3vO,1,0.0272,0.934,0.443,0.0,0.0889,-7.541,0.41,133.026,0.359,"9 ContributorsFFM Freestylе: ALIZADE LyricsCardi B — «WAP» (feat. Megan Thee Stallion)

Эй, эй, эй, эй, bitch, bitch, эй, эй
Мне не нужен стресс, не нужна мне драма, м
У меня есть вес, я большая мама, м
Я грязная сука, но, у меня чиста карма, м, м
Мама billionaire, Dolce & Gabanna, а
Dolce & Gabanna, Dolce & Gabanna, м
Мне нужен только секс и богатый папа, м, м
Dolce & Gabanna, Dolce & Gabanna, м
Мне нужен только секс
Глазами хлопай hoe, хлопай hoe
Каблом Louis топай hoe, bitch, топай hoe
Делай вид, что ты тупая hoe, тупая hoe
Если хочешь быть богатой hoe, богатой hoe
Эй, мне не нужен стресс, не нужна мне драма, м
У меня есть вес, я большая мама
Я грязная сука, но, у меня чиста карма, м
Мама billionaire, Dolce & Gabanna, bitch, а
Dolce & Gabanna, Dolce & Gabanna, а
Мне нужен только секс и богатый папа, м
Dolce & Gabanna, Dolce & Gabanna
Мне нужен только секс, ах, bitch
Э-э, ха-ха-ха

Missy Elliott — «Get Ur Freak On»
You might also likeХа-ха, bitch, эй, а-а-а-а, а-я-я-я-я, эй
Однажды днём, та сука ворвалась в мой дом в слезах
На непонятном языке базарила про тебя
Она сказала, что ты — пидор
Она сказала, что ты — пидор, э
Меня не любят за то, что я делаю очень много money
Ведь я ночами и днями работаю — Ася не бывает free
Сумочки Gucci и брюки [?], как [?]
Если бы он был девушкой, то был бы самый ugly bitch, эй
Ugly-ugly-ugly bitch, эй
Ugly-ugly-ugly bitch, у-э
Ugly-ugly-ugly bitch
Bad bitches знают как и где, чем можно заработать
У них есть бланты, bitches baking soda, Minniesota
Bad bitches знают как и где, чем можно заработать
У них есть бланты, bitches baking soda, Minniesota
Minnie-Minniesota, Minnie-Minniesota, bitch
Lick my pussy, please, эх

Flo Milli — «In The Party»

Э-э-э-эй, я-ай, я-ай, я-ай, эй, эй, эй
Эй, эй, эй, сука
Она святая hoe, она святая ведьма, м, м
У неё чёрный кот, поводок от Vetmo, м, м
Она маленькая, она как рыбка Немо
[?] война Сабрина, там Сабрина
Маленькая ведьма, ай, ай
Сабрина маленькая ведьма, эй, эй
Малышка играет на нервах, она — музыкант
Её метла это lambo, don't be slatt
Ай, они все мне говорят, Alizade, — иди ты в колледж, эй
Смотрю на них канапу, и отправляю её message, э
Подними голову, у, и посмотри на мой outfit, у
Look at my outfit, а, look at my outfit
Меня не любят за то, что я делаю очень много money, и
Ведь я ночами и днями работаю — Ася не бывает free
Сумочки Gucci и брюки как [?]
Если бы он был девушкой, то был бы самый ugly bitch, эй
Дай мне, дай мне, дай мне, дай мне эти деньги
Я получаю эти-эти-эти деньги
Я хочу сосать твои деньги
Дай мне, дай мне, дай мне, дай мне все деньги
Э, э, все деньги, э, э все деньги, э, э все деньги
Дай мне, сука, эти деньги, bitch, эй
Baauer — «Dum Dum» (Kristina Si — «Ну Ну Да»)

Ха-ха, эй
